"","number","c1","c2","c3","c4","c6","c7","c8","c10","c11","c12","c13","c14","c17","c18","c19","c20","c21","c22"
"22929",22928,17.92571777,1.300977539,-0.573993164,2.175963867,16.42574121,11.30082129,22.30064941,-5.823911131,-16.19874902,-5.198920897,-18.823708,-16.82373925,-7.573883787,-7.44888574,0.05099707,0.925983398,-16.82373925,147.0487002
"22930",22929,9.425850584,0.425991211,-2.69895996,-1.198983398,12.80079785,6.300899413,17.30072753,-6.323903319,-13.94878418,-3.198952148,-19.32370019,-18.57371191,-9.073860349,-6.573899413,0.05099707,-3.823942382,-17.69872558,187.0480752
"22946",22945,-25.19860839,-12.19881152,-3.198952148,5.175916991,-23.44863574,-3.698944335,11.42581933,-4.073938476,-6.573899413,-5.323918944,-21.82366113,-16.07375097,-2.198967773,3.675940429,0.175995117,-28.19856152,-28.07356347,272.5467392
"23013",23012,-21.19867089,12.55080175,5.050918944,-2.573961913,-1.073985351,-12.07381347,-23.69863183,2.925952148,0.05099707,-10.32384082,-23.94862792,-24.44862011,8.425866209,10.17583886,-0.074000977,-35.32345019,-36.32343456,-180.0711884
"23066",23065,2.925952148,13.05079394,5.300915038,15.17576074,0.05099707,-2.573961913,9.050856443,6.175901366,2.300961913,2.05096582,0.175995117,9.050856443,5.050918944,-2.32396582,0.175995117,-0.948987304,1.675971679,217.5475986
"23067",23066,-19.82369238,3.800938476,6.050903319,17.17572949,-3.323950195,-3.448948241,8.425866209,-1.823973632,-1.073985351,0.175995117,-25.32360644,-0.198999023,2.300961913,-3.448948241,0.300993164,-8.823864256,-14.19878027,202.7978291
"23073",23072,-13.57379004,17.80071972,-1.448979492,1.800969726,5.550911131,-9.823848631,1.050981445,15.05076269,19.80068847,8.425866209,26.17558886,29.42553808,15.30075879,2.925952148,0.05099707,29.42553808,43.92531151,37.42541308
"23085",23084,-54.5731494,-19.19870214,-14.8237705,-21.19867089,-38.8233955,-38.19840526,-29.19854589,-24.44862011,-4.073938476,-3.573946288,-11.69881933,-9.823848631,-32.82348925,-6.948893553,-0.198999023,-5.948909178,5.300915038,-73.57285252
"23101",23100,-69.19792088,-40.07337597,-17.82372363,-13.94878418,-30.32352831,-15.32376269,-5.07392285,-41.19835839,-17.44872949,-7.823879881,-47.44826073,-32.32349706,-38.07340722,-0.573993164,-0.074000977,-23.0736416,-21.82366113,-112.5722431
"23162",23161,75.92481151,15.30075879,-3.073954101,-9.698850584,-9.573852537,-5.198920897,-12.9487998,15.42575683,-8.198874022,0.925983398,15.67575293,5.800907225,19.80068847,-4.573930663,0.05099707,-13.1987959,-11.82381738,213.6726591
"23174",23173,30.80051659,5.425913085,-3.448948241,4.925920897,-23.94862792,-3.698944335,-4.198936522,15.67575293,-0.573993164,-6.823895506,10.42583496,-14.57377441,9.675846677,3.300946288,0.05099707,-21.44866699,-24.07362597,313.9210927
"23204",23203,13.67578418,-6.573899413,-0.698991211,1.425975586,0.425991211,1.550973632,-3.198952148,-0.074000977,-8.448870115,-5.198920897,-4.448932616,-14.8237705,-12.07381347,-5.323918944,-0.198999023,-5.573915038,-16.44874511,-65.57297752
"23207",23206,0.550989258,-2.198967773,-0.573993164,6.425897459,0.425991211,10.55083301,7.675877928,-7.198889647,-16.82373925,-10.94883105,-16.44874511,-22.94864355,-11.0738291,-9.198858396,0.550989258,-11.32382519,-22.69864746,-80.07275096
"23253",23252,1.550973632,1.175979492,-15.57375879,-13.1987959,-13.32379394,-13.1987959,-8.198874022,-2.198967773,0.425991211,4.42592871,8.300868162,12.6757998,-11.32382519,-3.073954101,0.05099707,-4.198936522,1.300977539,849.7877195
"23257",23256,5.800907225,2.300961913,-8.698866209,-12.44880761,-12.57380566,-13.07379785,-10.57383691,2.42595996,4.550926757,1.300977539,8.675862303,7.925874022,-15.69875683,2.800954101,0.05099707,-2.448963867,0.800985351,-1380.302434
"23260",23259,5.675909178,7.675877928,2.925952148,-7.573883787,1.925967773,0.05099707,-14.8237705,16.30074316,12.17580761,-4.948924804,19.80068847,15.55075488,-3.073954101,11.30082129,0.05099707,3.550942382,11.92581152,-634.8140829
"23264",23263,-18.94870605,9.17585449,7.300883787,0.550989258,3.550942382,8.300868162,-7.573883787,7.300883787,9.17585449,-10.94883105,-2.448963867,4.550926757,0.300993164,15.30075879,-0.074000977,-13.57379004,-7.698881834,60.67504979
"23273",23272,-23.32363769,-7.44888574,-9.198858396,-8.948862303,-7.698881834,-2.69895996,-14.32377832,-8.448870115,-14.32377832,-8.573868162,-10.69883496,-9.073860349,-12.9487998,-10.07384472,0.175995117,-5.323918944,-5.948909178,157.0485439
"23277",23276,-29.94853417,-9.698850584,-6.198905272,-8.323872068,-20.9486748,-20.69867871,-17.07373535,-12.69880371,-17.57372753,-10.94883105,-21.69866308,-11.19882715,-13.82378613,-10.82383301,0.175995117,-6.323903319,-8.073875975,187.4230693
"23302",23301,-18.19871777,-18.823708,-13.1987959,-8.448870115,5.675909178,-0.573993164,-0.198999023,-3.948940429,-16.32374707,-5.573915038,-10.44883886,-18.32371582,-16.32374707,-9.073860349,-0.074000977,13.80078222,-0.074000977,180.1731826
"23310",23309,-8.073875975,-1.698975586,-7.198889647,-4.823926757,3.800938476,-1.323981445,-4.69892871,0.05099707,-0.32399707,5.675909178,-12.07381347,26.17558886,6.925889647,-12.07381347,-0.074000977,6.675893553,11.05082519,64.04999706
"23318",23317,-1.448979492,-23.0736416,-5.448916991,-6.323903319,-10.32384082,-17.44872949,-22.07365722,-13.57379004,-7.198889647,-0.32399707,2.175963867,-0.074000977,-32.57349316,-10.94883105,-0.32399707,-3.198952148,-1.573977539,-17.07373535
"23323",23322,35.17544823,9.675846677,1.175979492,-0.074000977,-12.82380175,-19.44869824,-15.94875293,-5.448916991,-1.948971679,-10.32384082,1.425975586,-7.573883787,-17.19873339,0.05099707,0.300993164,-20.9486748,-18.07371972,-19.94869042
"23334",23333,8.675862303,1.425975586,1.175979492,-5.198920897,-1.198983398,-8.573868162,-27.69856933,4.675924804,3.800938476,-3.073954101,-1.698975586,-4.573930663,17.55072363,11.67581543,-0.074000977,-9.948846677,-8.948862303,-78.94776854
"23338",23337,27.05057519,11.05082519,6.550895506,-5.198920897,4.550926757,-11.69881933,-11.0738291,18.92570214,8.925858396,-0.823989258,14.8007666,8.800860349,24.55061425,12.55080175,-0.198999023,0.925983398,4.80092285,-32.6984912
"23357",23356,23.42563183,18.8007041,20.55067675,8.675862303,9.550848631,-4.448932616,-18.44871386,20.42567871,13.17579199,0.05099707,14.17577636,16.80073535,9.925842771,1.550973632,-0.198999023,-2.073969726,4.550926757,-119.4471357
"23360",23359,24.17562011,20.30068066,20.42567871,11.55081738,7.17588574,1.550973632,-13.32379394,19.17569824,13.17579199,0.550989258,14.05077832,15.92574902,17.05073144,4.550926757,0.175995117,-0.32399707,6.175901366,-96.32249705
"23367",23366,36.92542089,15.67575293,8.175870115,13.30079004,31.55050488,27.05057519,6.8008916,22.8006416,4.300930663,1.050981445,18.8007041,6.175901366,17.30072753,-3.823942382,-0.074000977,25.55059863,13.17579199,844.6627996
"23392",23391,-40.07337597,3.925936522,13.67578418,13.30079004,27.80056347,28.92554589,4.80092285,4.925920897,13.42578808,3.300946288,33.55047362,21.42566308,2.42595996,-2.448963867,0.05099707,19.17569824,36.92542089,184.2981181
"23469",23468,44.80029784,-2.448963867,-13.69878808,-5.698913085,-11.32382519,-4.69892871,-3.573946288,-2.69895996,1.675971679,-1.073985351,-29.19854589,-9.948846677,-9.073860349,-6.448901366,-0.074000977,-7.0738916,-27.0735791,-163.8214423
"23471",23470,37.17541698,-5.07392285,-10.19884277,-4.823926757,-12.32380957,-4.69892871,-8.698866209,3.300946288,6.8008916,2.675956054,-31.82350488,-20.69867871,-3.698944335,-2.573961913,0.05099707,-6.323903319,-26.823583,-181.696163
"23474",23473,37.42541308,5.300915038,-7.44888574,-3.948940429,-19.44869824,-4.323934569,-1.323981445,10.92582715,17.05073144,3.300946288,-30.69852245,-16.57374316,13.80078222,5.050918944,0.05099707,-13.94878418,-29.44854199,-167.5713837
"23500",23499,14.5507705,31.92549902,4.80092285,-6.948893553,21.67565917,-11.44882324,4.050934569,28.4255537,12.55080175,6.675893553,-15.69875683,2.300961913,58.05009081,13.55078613,0.05099707,12.55080175,-13.44879199,109.0492939
"23513",23512,8.050872068,27.55056738,11.55081738,-5.823911131,7.050887694,-4.198936522,0.550989258,36.4254287,17.05073144,-4.573930663,-6.198905272,2.675956054,67.54994237,20.05068457,0.300993164,2.675956054,-11.57382129,273.2967275
"23526",23525,9.425850584,23.55062988,18.8007041,6.550895506,11.67581543,4.050934569,7.425881834,21.67565917,12.6757998,-3.448948241,-9.823848631,-3.198952148,51.92518651,19.05070019,0.175995117,9.050856443,-6.823895506,237.9222802
"23529",23528,-3.198952148,13.80078222,8.550864256,9.550848631,6.550895506,-1.323981445,6.8008916,-0.074000977,4.175932616,-1.198983398,-25.19860839,-5.698913085,36.17543261,9.050856443,0.300993164,0.425991211,-15.94875293,172.1733076
"23557",23556,-5.948909178,4.175932616,-2.573961913,-1.698975586,12.42580371,8.675862303,13.05079394,-3.698944335,-8.448870115,-4.823926757,0.550989258,18.30071191,25.05060644,5.050918944,-0.074000977,24.6756123,19.92568652,-71.32288768
"23600",23599,-37.82341112,-10.82383301,-3.573946288,5.050918944,4.80092285,8.675862303,-3.073954101,-18.94870605,-22.19865527,-6.323903319,-37.57341503,-29.69853808,-11.57382129,-10.32384082,0.05099707,-8.198874022,-31.44851073,-958.3090281
"23607",23606,-19.94869042,3.050950195,4.300930663,1.050981445,15.17576074,0.175995117,-16.9487373,-15.19876464,-1.198983398,-1.198983398,-21.07367285,-15.69875683,-8.698866209,7.17588574,-0.198999023,7.925874022,-12.07381347,-11.94881543
"23609",23608,-19.0737041,4.050934569,9.550848631,6.175901366,2.675956054,5.925905272,-12.9487998,-19.19870214,-2.573961913,-5.07392285,-18.57371191,-19.44869824,-11.69881933,8.925858396,0.175995117,6.050903319,-11.19882715,37.80040722
